,Importance
tag_multiplayer,0.030665088
is_free,0.021993993
initialprice,0.021027457
tag_count,0.016492218
has_in_app_purchases,0.015652489
required_age,0.015458428
has_vr_support,0.014702397
game_age_days,0.014493432
tag_open_world,0.014448762
tag_firstperson,0.014092376
tag_singleplayer,0.013561274
tag_difficult,0.012846469
achievement_count,0.01233033
has_detailed_desc,0.012228106
localization_score,0.012151373
tag_simulation,0.012002777
has_cloud_save,0.01186673
tag_atmospheric,0.011796751
tag_2d,0.01155485
platform_reach,0.011534567
tag_strategy,0.011507207
weighted_language_score,0.01149467
store_page_score,0.011405131
tag_dark,0.011208122
has_support_email,0.011180594
category_count,0.011065353
tag_3d,0.011034784
has_family_sharing,0.011012959
platform_linux,0.0108815795
is_multiplayer,0.010810436
tag_exploration,0.010793226
tag_casual,0.010741355
tag_rpg,0.010732741
tag_story_rich,0.01072422
package_count,0.01068166
is_mature_content,0.0106634945
Sports,0.01060562
tag_adventure,0.010564059
tag_comedy,0.010542965
tag_shooter,0.010477476
Strategy,0.01043533
tag_female_protagonist,0.010405934
supported_languages_count,0.010380127
price,0.010377596
tag_psychological_horror,0.010365027
tag_choices_matter,0.010332672
tag_funny,0.010151549
full_audio_languages_count,0.010095671
tag_retro,0.010070254
screenshot_count,0.010021672
sku_count,0.01001037
RPG,0.009984085
tag_puzzle,0.009934583
tag_action,0.009844921
tag_platformer,0.009837968
has_controller_support,0.009781424
steam_integration,0.0097306045
marketing_score,0.009683203
tag_third_person,0.00959876
tag_scifi,0.009567618
about_length,0.009554301
tag_stylized,0.00937514
tag_mystery,0.00933831
tag_anime,0.009335249
platform_mac,0.009314768
tag_survival,0.009299578
Simulation,0.009163309
tag_pixel_graphics,0.009124835
has_website,0.009054886
tag_linear,0.009047309
release_month,0.009044471
tag_horror,0.009041131
short_desc_length,0.00900882
tag_realistic,0.008996684
platform_count,0.008995784
has_achievements,0.008818747
tag_arcade,0.008787465
tag_visual_novel,0.008737914
Adventure,0.0087031955
Action,0.008606444
tag_family_friendly,0.008525334
tag_cartoony,0.008493111
tag_fantasy,0.008393027
Racing,0.008302946
tag_colorful,0.007880559
tag_cute,0.007871995
tag_topdown,0.0076832077
tag_controller,0.0076497686
tag_relaxing,0.0074310103
tag_combat,0.0071860286
tag_actionadventure,0.0070376405
tag_early_access,0.0068824836
tag_2d_platformer,0.005677659
platform_windows,0.0
